year,fires,acres,notes
2020,58950,10122336,
2019,50477,4664364,
2018,58083,8767492,
2017,71499,10026086,
2016,67743,5509995,
2015,68151,10125149,
2014,63312,3595613,
2013,47579,4319546,
2012,67774,9326238,
2011,74126,8711367,
2010,71971,3422724,
2009,78792,5921786,
2008,78979,5292468,
2007,85705,9328045,
2006,96385,9873745,
2005,66753,8689389,
2004,65461,8097880,2004 fires and acres do not include state lands for North Carolina
2003,63629,3960842,
2002,73457,7184712,
2001,84079,3570911,
2000,92250,7393493,
1999,92487,5626093,
1998,81043,1329704,
1997,66196,2856959,
1996,96363,6065998,
1995,82234,1840546,
1994,79107,4073579,
1993,58810,1797574,
1992,87394,2069929,
1991,75754,2953578,
1990,66481,4621621,
1989,48949,1827310,
1988,72750,5009290,
1987,71300,2447296,
1986,85907,2719162,
1985,82591,2896147,
1984,20493,1148409,
1983,18229,1323666,
,,,